Quarterly,GDP in billions of current dollars,GDP in billions of chained 2017 dollars
2000Q1,10002.2,13878.1
2000Q2,10247.7,14130.9
2000Q3,10318.2,14145.3
2000Q4,10435.7,14229.8
2001Q1,10470.2,14183.1
2001Q2,10599.0,14271.7
2001Q3,10598.0,14214.5
2001Q4,10660.5,14253.6
2002Q1,10783.5,14372.8
2002Q2,10887.5,14460.8
2002Q3,10984.0,14519.6
2002Q4,11061.4,14537.6
2003Q1,11174.1,14614.1
2003Q2,11312.8,14743.6
2003Q3,11566.7,14988.8
2003Q4,11772.2,15162.8
2004Q1,11923.4,15248.7
2004Q2,12112.8,15366.9
2004Q3,12305.3,15512.6
2004Q4,12527.2,15670.9
2005Q1,12767.3,15844.7
2005Q2,12922.7,15922.8
2005Q3,13142.6,16047.6
2005Q4,13324.2,16136.7
2006Q1,13599.2,16353.8
2006Q2,13753.4,16396.2
2006Q3,13870.2,16420.7
2006Q4,14039.6,16561.9
2007Q1,14215.7,16611.7
2007Q2,14402.1,16713.3
2007Q3,14564.1,16809.6
2007Q4,14715.1,16915.2
2008Q1,14706.5,16843.0
2008Q2,14865.7,16943.3
2008Q3,14899.0,16854.3
2008Q4,14608.2,16485.4
2009Q1,14430.9,16298.3
2009Q2,14381.2,16269.1
2009Q3,14448.9,16326.3
2009Q4,14651.2,16502.8
2010Q1,14764.6,16582.7
2010Q2,14980.2,16743.2
2010Q3,15141.6,16872.3
2010Q4,15309.5,16960.9
2011Q1,15351.4,16920.6
2011Q2,15557.5,17035.1
2011Q3,15647.7,17031.3
2011Q4,15842.3,17222.6
2012Q1,16068.8,17367.0
2012Q2,16207.1,17444.5
2012Q3,16319.5,17469.7
2012Q4,16420.4,17489.9
2013Q1,16648.2,17662.4
2013Q2,16728.7,17709.7
2013Q3,16953.8,17860.5
2013Q4,17192.0,18016.1
2014Q1,17197.7,17954.0
2014Q2,17518.5,18185.9
2014Q3,17804.2,18406.9
2014Q4,17912.1,18500.0
2015Q1,18063.5,18666.6
2015Q2,18279.8,18782.2
2015Q3,18401.6,18857.4
2015Q4,18435.1,18892.2
2016Q1,18525.9,19001.7
2016Q2,18711.7,19062.7
2016Q3,18892.6,19197.9
2016Q4,19089.4,19304.4
2017Q1,19280.1,19398.3
2017Q2,19438.6,19506.9
2017Q3,19692.6,19660.8
2017Q4,20037.1,19882.4
2018Q1,20328.6,20044.1
2018Q2,20580.9,20150.5
2018Q3,20798.7,20276.2
2018Q4,20917.9,20304.9
2019Q1,21104.1,20415.2
2019Q2,21384.8,20584.5
2019Q3,21694.3,20817.6
2019Q4,21902.4,20951.1
2020Q1,21706.5,20665.6
2020Q2,19913.1,19034.8
2020Q3,21647.6,20511.8
2020Q4,22024.5,20724.1
2021Q1,22600.2,20990.5
2021Q2,23292.4,21309.5
2021Q3,23829.0,21483.1
2021Q4,24654.6,21847.6
2022Q1,25029.1,21738.9
2022Q2,25544.3,21708.2
2022Q3,25994.6,21851.1
2022Q4,26408.4,21990.0
2023Q1,26813.6,22112.3
2023Q2,27063.0,22225.4
2023Q3,27610.1,22490.7
2023Q4,27944.6,22669.0